Channel Number	Scanivalve 1	WT Dynamic	WT Static relative to atmosphere	Temperature	Barometric Pressure
Conversion Factor	psi = V / 7.07	mm H2o = V / 0.0255	mm H2o = V / 0.0198	Deg C = V / 0.1	mm Hg = V / 0.0222222+ 600
1	0.512	1.261	0.049	1.439	3.724
2	0.47	1.253	0.052	1.442	3.724
3	0.378	1.256	0.05	1.444	3.724
4	0.243	1.255	0.051	1.447	3.724
5	0.07	1.252	0.051	1.451	3.724
6	-0.154	1.249	0.05	1.453	3.724
7	-0.356	1.253	0.05	1.457	3.724
8	-0.535	1.262	0.049	1.46	3.724
9	-0.685	1.257	0.048	1.461	3.724
10	-0.712	1.254	0.05	1.464	3.724
11	-0.79	1.262	0.05	1.464	3.724
12	-0.752	1.259	0.051	1.468	3.724
13	-0.786	1.261	0.049	1.471	3.724
14	-0.58	1.265	0.051	1.471	3.724
15	-0.423	1.262	0.051	1.474	3.724
16	-0.374	1.261	0.051	1.476	3.724
17	-0.315	1.262	0.051	1.478	3.724
18	-0.292	1.26	0.049	1.48	3.724
19	-0.308	1.263	0.05	1.482	3.724
20	-0.3	1.262	0.051	1.485	3.724
21	-0.296	1.258	0.05	1.487	3.724
22	-0.289	1.26	0.051	1.487	3.724
23	-0.279	1.26	0.05	1.49	3.724
24	-0.277	1.259	0.05	1.491	3.724
25	-0.274	1.26	0.05	1.494	3.724
26	-0.287	1.261	0.05	1.495	3.724
27	-0.282	1.259	0.049	1.496	3.724
28	-0.294	1.265	0.05	1.499	3.724
29	-0.296	1.269	0.051	1.502	3.724
30	-0.277	1.268	0.049	1.502	3.724
31	-0.3	1.27	0.051	1.504	3.725
32	-0.314	1.269	0.05	1.508	3.725
33	-0.502	1.266	0.05	1.509	3.725
34	-0.822	1.266	0.051	1.511	3.725
35	-1.192	1.267	0.05	1.513	3.725
36	-1.222	1.264	0.05	1.513	3.725
37	-1.351	1.27	0.051	1.515	3.725
38	-1.356	1.271	0.05	1.517	3.725
39	-1.26	1.272	0.049	1.518	3.725
40	-1.129	1.272	0.05	1.523	3.725
41	-0.936	1.27	0.05	1.523	3.725
42	-0.688	1.269	0.049	1.525	3.725
43	-0.412	1.269	0.05	1.526	3.725
44	-0.164	1.272	0.05	1.527	3.725
45	0.069	1.273	0.049	1.528	3.725
46	0.255	1.282	0.049	1.53	3.725
47	0.408	1.269	0.049	1.533	3.725
48	0.494	1.274	0.05	1.535	3.725
