Channel Number	Scanivalve 1	WT Dynamic	WT Static relative to atmosphere	Temperature	Barometric Pressure
Conversion Factor	psi = V / 7.07	mm H2o = V / 0.0255	mm H2o = V / 0.0198	Deg C = V / 0.1	mm Hg = V / 0.0222222+ 600
1	0.246	0.625	0.051	1.698	3.58
2	0.222	0.63	0.051	1.698	3.581
3	0.173	0.632	0.05	1.699	3.581
4	0.097	0.631	0.052	1.7	3.581
5	0.012	0.628	0.051	1.701	3.581
6	-0.085	0.626	0.05	1.703	3.581
7	-0.175	0.626	0.05	1.702	3.581
8	-0.247	0.62	0.051	1.704	3.581
9	-0.281	0.615	0.051	1.703	3.581
10	-0.282	0.617	0.05	1.706	3.581
11	-0.244	0.614	0.05	1.707	3.581
12	-0.26	0.612	0.051	1.707	3.581
13	-0.242	0.613	0.05	1.707	3.581
14	-0.253	0.615	0.05	1.709	3.581
15	-0.24	0.615	0.05	1.708	3.581
16	-0.24	0.614	0.05	1.71	3.581
17	-0.233	0.614	0.051	1.712	3.58
18	-0.244	0.616	0.051	1.711	3.581
19	-0.252	0.617	0.051	1.712	3.581
20	-0.25	0.614	0.051	1.713	3.581
21	-0.24	0.615	0.05	1.715	3.581
22	-0.243	0.618	0.05	1.715	3.581
23	-0.239	0.617	0.05	1.715	3.581
24	-0.248	0.618	0.051	1.717	3.581
25	-0.238	0.618	0.05	1.717	3.581
26	-0.247	0.619	0.051	1.718	3.581
27	-0.242	0.615	0.05	1.718	3.581
28	-0.251	0.616	0.051	1.719	3.581
29	-0.252	0.619	0.051	1.72	3.581
30	-0.245	0.617	0.05	1.721	3.581
31	-0.239	0.619	0.051	1.722	3.581
32	-0.235	0.619	0.05	1.721	3.581
33	-0.235	0.619	0.051	1.722	3.581
34	-0.256	0.62	0.051	1.722	3.581
35	-0.246	0.618	0.05	1.723	3.581
36	-0.249	0.62	0.049	1.723	3.581
37	-0.251	0.62	0.05	1.724	3.58
38	-0.27	0.623	0.051	1.725	3.58
39	-0.298	0.62	0.051	1.726	3.58
40	-0.296	0.618	0.052	1.727	3.581
41	-0.248	0.618	0.052	1.727	3.581
42	-0.177	0.62	0.05	1.728	3.581
43	-0.08	0.621	0.049	1.729	3.581
44	0.008	0.623	0.05	1.73	3.581
45	0.092	0.621	0.051	1.73	3.581
46	0.162	0.622	0.05	1.73	3.581
47	0.218	0.626	0.051	1.732	3.581
48	0.248	0.629	0.051	1.732	3.581
