Sample 	Position mm	Wake Dynamic 	Wake Static relative to atmosphere	WT Dynamic	WT Static relative to atmosphere	Temperature	Barometric Pressure
Number	Conversion Factor	mm H2o = V / 0.01969	mm H2o = V / 0.0198	mm H2o = V / 0.0255	mm H2o = V / 0.0198	Deg C = V / 0.1	mm Hg = V / 0.0222222+ 600
1	-320	0.498	0.051	0.628	0.052	1.742	3.581
2	-315	0.5	0.048	0.629	0.051	1.743	3.581
3	-310	0.494	0.048	0.626	0.053	1.743	3.581
4	-305	0.491	0.049	0.622	0.053	1.743	3.581
5	-300	0.493	0.043	0.624	0.051	1.743	3.582
6	-295	0.498	0.045	0.624	0.052	1.744	3.581
7	-290	0.492	0.036	0.626	0.051	1.744	3.582
8	-285	0.497	0.041	0.628	0.052	1.745	3.582
9	-280	0.49	0.038	0.625	0.051	1.747	3.582
10	-275	0.482	0.038	0.623	0.052	1.746	3.582
11	-270	0.481	0.029	0.626	0.052	1.746	3.582
12	-265	0.49	0.033	0.623	0.054	1.748	3.582
13	-260	0.492	0.033	0.627	0.052	1.748	3.582
14	-255	0.484	0.029	0.625	0.053	1.748	3.582
15	-250	0.484	0.026	0.624	0.052	1.749	3.582
16	-245	0.485	0.031	0.626	0.052	1.746	3.582
17	-240	0.483	0.026	0.624	0.052	1.749	3.582
18	-235	0.477	0.029	0.627	0.052	1.748	3.582
19	-230	0.473	0.018	0.628	0.051	1.749	3.582
20	-225	0.48	0.014	0.63	0.054	1.749	3.582
21	-220	0.464	0.014	0.627	0.052	1.749	3.582
22	-215	0.46	0.011	0.625	0.052	1.749	3.582
23	-210	0.472	0.013	0.626	0.051	1.751	3.582
24	-205	0.477	0.008	0.629	0.052	1.75	3.582
25	-200	0.437	-0.006	0.629	0.051	1.751	3.582
26	-195	0.472	0.003	0.627	0.052	1.754	3.582
27	-190	0.463	0	0.63	0.051	1.753	3.582
28	-185	0.454	0.004	0.628	0.052	1.752	3.582
29	-180	0.465	-0.011	0.628	0.053	1.755	3.582
30	-175	0.442	-0.024	0.628	0.052	1.755	3.582
31	-170	0.453	-0.027	0.628	0.052	1.754	3.582
32	-165	0.439	-0.019	0.627	0.051	1.755	3.582
33	-160	0.431	-0.02	0.628	0.052	1.754	3.582
34	-155	0.417	-0.026	0.628	0.052	1.756	3.582
35	-150	0.418	-0.028	0.63	0.053	1.756	3.582
36	-145	0.396	-0.039	0.626	0.053	1.757	3.582
37	-140	0.393	-0.051	0.626	0.053	1.757	3.582
38	-135	0.4	-0.042	0.627	0.051	1.758	3.582
39	-130	0.394	-0.051	0.629	0.052	1.758	3.582
40	-125	0.385	-0.046	0.63	0.053	1.758	3.582
41	-120	0.379	-0.042	0.63	0.052	1.76	3.582
42	-115	0.364	-0.064	0.63	0.051	1.758	3.582
43	-110	0.366	-0.082	0.63	0.053	1.759	3.582
44	-105	0.366	-0.082	0.632	0.053	1.76	3.582
45	-100	0.376	-0.056	0.632	0.053	1.76	3.582
46	-95	0.345	-0.061	0.638	0.052	1.761	3.582
47	-90	0.332	-0.061	0.642	0.052	1.76	3.581
48	-85	0.343	-0.085	0.647	0.053	1.76	3.582
49	-80	0.287	-0.102	0.645	0.054	1.762	3.581
50	-75	0.341	-0.072	0.644	0.053	1.762	3.582
51	-70	0.318	-0.07	0.646	0.051	1.762	3.582
52	-65	0.287	-0.097	0.644	0.053	1.762	3.582
53	-60	0.311	-0.073	0.642	0.052	1.763	3.582
54	-55	0.288	-0.099	0.642	0.053	1.764	3.581
55	-50	0.286	-0.104	0.64	0.054	1.764	3.581
56	-45	0.281	-0.106	0.64	0.053	1.764	3.581
57	-40	0.253	-0.102	0.642	0.054	1.764	3.581
58	-35	0.268	-0.089	0.641	0.052	1.764	3.581
59	-30	0.287	-0.097	0.643	0.053	1.766	3.582
60	-25	0.251	-0.1	0.644	0.051	1.765	3.581
61	-20	0.24	-0.119	0.642	0.053	1.767	3.581
62	-15	0.24	-0.11	0.639	0.053	1.768	3.581
63	-10	0.263	-0.094	0.64	0.052	1.768	3.581
64	-5	0.299	-0.075	0.643	0.051	1.768	3.581
65	0	0.235	-0.13	0.643	0.055	1.769	3.581
66	5	0.248	-0.105	0.64	0.053	1.769	3.581
67	10	0.27	-0.11	0.644	0.054	1.769	3.581
68	15	0.229	-0.106	0.643	0.052	1.768	3.581
