Channel Number	Scanivalve 1	WT Dynamic	WT Static relative to atmosphere	Temperature	Barometric Pressure
Conversion Factor	psi = V / 7.07	mm H2o = V / 0.0255	mm H2o = V / 0.0198	Deg C = V / 0.1	mm Hg = V / 0.0222222+ 600
1	0.732	1.864	0.084	2.427	3.687
2	0.634	1.866	0.083	2.431	3.687
3	0.448	1.87	0.085	2.435	3.687
4	0.178	1.872	0.083	2.439	3.687
5	-0.14	1.873	0.084	2.443	3.687
6	-0.503	1.873	0.086	2.447	3.687
7	-0.872	1.871	0.084	2.45	3.687
8	-1.218	1.871	0.085	2.454	3.687
9	-1.523	1.877	0.083	2.457	3.687
10	-1.755	1.875	0.082	2.46	3.687
11	-1.887	1.874	0.084	2.463	3.687
12	-1.855	1.873	0.084	2.467	3.687
13	-1.745	1.875	0.084	2.47	3.687
14	-1.661	1.879	0.085	2.474	3.686
15	-1.087	1.881	0.084	2.478	3.686
16	-0.584	1.882	0.085	2.481	3.686
17	-0.282	1.885	0.085	2.483	3.686
18	-0.234	1.881	0.085	2.488	3.686
19	-0.219	1.883	0.085	2.49	3.686
20	-0.222	1.882	0.086	2.494	3.686
21	-0.224	1.884	0.083	2.496	3.686
22	-0.222	1.882	0.085	2.5	3.686
23	-0.215	1.887	0.084	2.502	3.686
24	-0.215	1.882	0.085	2.505	3.686
25	-0.213	1.888	0.083	2.508	3.686
26	-0.22	1.886	0.084	2.511	3.687
27	-0.223	1.895	0.082	2.514	3.686
28	-0.224	1.895	0.085	2.517	3.686
29	-0.22	1.895	0.086	2.52	3.687
30	-0.216	1.893	0.085	2.522	3.687
31	-0.231	1.895	0.083	2.525	3.687
32	-0.326	1.892	0.084	2.529	3.687
33	-0.697	1.889	0.082	2.531	3.687
34	-1.291	1.898	0.085	2.534	3.687
35	-1.663	1.896	0.084	2.537	3.687
36	-1.792	1.897	0.084	2.542	3.687
37	-1.902	1.899	0.085	2.544	3.687
38	-1.879	1.896	0.084	2.547	3.687
39	-1.716	1.897	0.084	2.549	3.687
40	-1.492	1.902	0.083	2.551	3.687
41	-1.189	1.899	0.083	2.554	3.687
42	-0.83	1.902	0.085	2.558	3.687
43	-0.444	1.904	0.084	2.561	3.688
44	-0.088	1.906	0.081	2.562	3.688
45	0.201	1.903	0.086	2.565	3.688
46	0.468	1.902	0.083	2.567	3.688
47	0.665	1.907	0.086	2.569	3.688
48	0.753	1.908	0.085	2.574	3.688
