Sample 	Position mm	Wake Dynamic 	Wake Static relative to atmosphere	WT Dynamic	WT Static relative to atmosphere	Temperature	Barometric Pressure
Number	Conversion Factor	mm H2o = V / 0.01969	mm H2o = V / 0.0198	mm H2o = V / 0.0255	mm H2o = V / 0.0198	Deg C = V / 0.1	mm Hg = V / 0.0222222+ 600
1	-320	0.987	0.089	1.274	0.052	1.548	3.725
2	-315	0.985	0.089	1.273	0.052	1.551	3.725
3	-310	0.987	0.09	1.276	0.051	1.552	3.725
4	-305	0.987	0.09	1.277	0.053	1.554	3.725
5	-300	0.988	0.091	1.275	0.052	1.555	3.725
6	-295	0.989	0.094	1.277	0.051	1.555	3.725
7	-290	0.994	0.092	1.287	0.052	1.556	3.725
8	-285	0.985	0.09	1.279	0.053	1.558	3.725
9	-280	0.994	0.092	1.278	0.052	1.559	3.725
10	-275	0.988	0.092	1.286	0.052	1.562	3.725
11	-270	0.983	0.091	1.277	0.05	1.56	3.725
12	-265	0.984	0.091	1.276	0.05	1.565	3.725
13	-260	0.987	0.092	1.281	0.052	1.565	3.725
14	-255	0.987	0.094	1.277	0.052	1.566	3.725
15	-250	0.992	0.092	1.282	0.051	1.569	3.725
16	-245	0.98	0.094	1.282	0.053	1.569	3.725
17	-240	0.985	0.092	1.285	0.05	1.571	3.725
18	-235	0.984	0.09	1.276	0.049	1.572	3.725
19	-230	0.989	0.095	1.279	0.05	1.571	3.725
20	-225	0.988	0.092	1.289	0.052	1.573	3.725
21	-220	0.992	0.093	1.289	0.052	1.573	3.725
22	-215	0.991	0.093	1.288	0.052	1.575	3.725
23	-210	0.992	0.092	1.284	0.051	1.577	3.725
24	-205	0.992	0.093	1.289	0.052	1.579	3.725
25	-200	0.987	0.093	1.286	0.052	1.579	3.725
26	-195	0.983	0.092	1.285	0.053	1.581	3.725
27	-190	0.993	0.092	1.288	0.053	1.579	3.725
28	-185	0.991	0.092	1.291	0.05	1.581	3.725
29	-180	0.982	0.091	1.291	0.052	1.583	3.725
30	-175	0.991	0.088	1.294	0.052	1.584	3.725
31	-170	0.983	0.087	1.292	0.051	1.585	3.725
32	-165	0.98	0.087	1.291	0.051	1.588	3.725
33	-160	0.974	0.084	1.284	0.05	1.588	3.725
34	-155	0.98	0.087	1.289	0.048	1.589	3.725
35	-150	0.981	0.084	1.292	0.05	1.59	3.726
36	-145	0.969	0.077	1.292	0.05	1.593	3.725
37	-140	0.967	0.081	1.294	0.051	1.594	3.725
38	-135	0.968	0.082	1.291	0.052	1.594	3.725
39	-130	0.968	0.083	1.291	0.052	1.597	3.725
40	-125	0.966	0.08	1.295	0.051	1.596	3.725
41	-120	0.932	0.07	1.286	0.053	1.595	3.725
42	-115	0.92	0.07	1.293	0.05	1.598	3.725
43	-110	0.954	0.068	1.295	0.049	1.599	3.725
44	-105	0.954	0.067	1.293	0.049	1.6	3.725
45	-100	0.943	0.067	1.297	0.051	1.601	3.725
46	-95	0.943	0.065	1.297	0.052	1.601	3.725
47	-90	0.916	0.059	1.293	0.051	1.602	3.725
48	-85	0.919	0.054	1.293	0.051	1.605	3.725
49	-80	0.902	0.053	1.29	0.048	1.606	3.725
50	-75	0.916	0.05	1.294	0.05	1.607	3.725
51	-70	0.893	0.05	1.289	0.047	1.607	3.725
52	-65	0.889	0.043	1.305	0.052	1.608	3.725
53	-60	0.911	0.048	1.292	0.052	1.609	3.725
54	-55	0.857	0.041	1.296	0.049	1.61	3.725
55	-50	0.89	0.04	1.301	0.052	1.61	3.725
56	-45	0.846	0.03	1.303	0.051	1.613	3.725
57	-40	0.862	0.036	1.299	0.049	1.612	3.725
58	-35	0.848	0.029	1.3	0.051	1.613	3.725
59	-30	0.815	0.028	1.306	0.049	1.615	3.725
60	-25	0.821	0.029	1.304	0.05	1.618	3.725
61	-20	0.829	0.024	1.303	0.051	1.617	3.725
62	-15	0.82	0.025	1.298	0.052	1.619	3.725
63	-10	0.826	0.029	1.297	0.052	1.621	3.725
64	-5	0.809	0.022	1.308	0.048	1.621	3.725
65	0	0.785	0.017	1.304	0.051	1.622	3.725
66	5	0.753	0.017	1.299	0.052	1.625	3.725
67	10	0.774	0.019	1.301	0.051	1.626	3.725
68	15	0.779	0.019	1.298	0.05	1.626	3.725
69	20	0.794	0.022	1.306	0.051	1.628	3.725
70	25	0.755	0.011	1.308	0.051	1.629	3.725
71	30	0.737	0.007	1.3	0.05	1.627	3.725
72	35	0.78	0.022	1.301	0.052	1.629	3.725
73	40	0.808	0.019	1.304	0.051	1.631	3.725
74	45	0.729	0.014	1.302	0.051	1.633	3.725
75	50	0.771	0.024	1.299	0.051	1.633	3.725
76	55	0.778	0.018	1.3	0.05	1.636	3.725
77	60	0.752	0.016	1.303	0.051	1.637	3.725
78	65	0.772	0.018	1.303	0.052	1.637	3.725
79	70	0.785	0.021	1.302	0.051	1.638	3.725
80	75	0.754	0.008	1.306	0.05	1.639	3.725
81	80	0.741	0.013	1.304	0.05	1.64	3.725
82	85	0.799	0.022	1.303	0.05	1.641	3.725
83	90	0.812	0.025	1.305	0.052	1.642	3.725
84	95	0.788	0.012	1.306	0.051	1.644	3.725
85	100	0.796	0.032	1.302	0.051	1.645	3.725
86	105	0.811	0.02	1.305	0.05	1.646	3.725
