Sample 	Position mm	Wake Dynamic 	Wake Static relative to atmosphere	WT Dynamic	WT Static relative to atmosphere	Temperature	Barometric Pressure
Number	Conversion Factor	mm H2o = V / 0.01969	mm H2o = V / 0.0198	mm H2o = V / 0.0255	mm H2o = V / 0.0198	Deg C = V / 0.1	mm Hg = V / 0.0222222+ 600
1	-320	1.437	0.157	1.919	0.088	2.628	3.687
2	-315	1.439	0.159	1.913	0.087	2.629	3.687
3	-310	1.444	0.157	1.918	0.087	2.631	3.687
4	-305	1.445	0.159	1.92	0.086	2.633	3.687
5	-300	1.446	0.159	1.918	0.087	2.635	3.687
6	-295	1.441	0.159	1.925	0.085	2.636	3.687
7	-290	1.445	0.159	1.923	0.086	2.637	3.687
8	-285	1.447	0.159	1.927	0.089	2.64	3.687
9	-280	1.443	0.159	1.923	0.087	2.642	3.687
10	-275	1.446	0.16	1.923	0.089	2.643	3.687
11	-270	1.444	0.16	1.925	0.087	2.645	3.687
12	-265	1.443	0.16	1.922	0.087	2.648	3.687
13	-260	1.445	0.161	1.923	0.085	2.65	3.687
14	-255	1.447	0.161	1.923	0.088	2.653	3.687
15	-250	1.439	0.161	1.923	0.085	2.655	3.687
16	-245	1.441	0.162	1.922	0.084	2.655	3.687
17	-240	1.439	0.163	1.922	0.085	2.657	3.687
18	-235	1.443	0.162	1.924	0.086	2.659	3.687
19	-230	1.437	0.164	1.926	0.09	2.661	3.687
20	-225	1.436	0.164	1.926	0.087	2.662	3.687
21	-220	1.441	0.164	1.929	0.087	2.665	3.687
22	-215	1.436	0.164	1.933	0.089	2.667	3.687
23	-210	1.444	0.164	1.927	0.087	2.667	3.687
24	-205	1.439	0.164	1.926	0.086	2.669	3.687
25	-200	1.435	0.164	1.928	0.084	2.672	3.687
26	-195	1.44	0.165	1.931	0.087	2.674	3.687
27	-190	1.434	0.164	1.926	0.086	2.676	3.687
28	-185	1.443	0.164	1.933	0.088	2.68	3.687
29	-180	1.443	0.161	1.932	0.087	2.679	3.687
30	-175	1.441	0.164	1.925	0.089	2.68	3.687
31	-170	1.434	0.162	1.933	0.086	2.683	3.687
32	-165	1.438	0.161	1.932	0.084	2.684	3.687
33	-160	1.427	0.157	1.932	0.087	2.686	3.687
34	-155	1.427	0.154	1.934	0.087	2.688	3.687
35	-150	1.426	0.153	1.933	0.086	2.689	3.687
36	-145	1.427	0.154	1.938	0.089	2.694	3.688
37	-140	1.42	0.145	1.937	0.085	2.694	3.688
38	-135	1.402	0.145	1.933	0.088	2.695	3.688
39	-130	1.382	0.137	1.939	0.089	2.698	3.688
40	-125	1.399	0.141	1.941	0.087	2.7	3.687
41	-120	1.373	0.137	1.942	0.087	2.701	3.687
42	-115	1.378	0.132	1.945	0.087	2.702	3.688
43	-110	1.362	0.129	1.947	0.087	2.704	3.688
44	-105	1.381	0.13	1.947	0.086	2.706	3.688
45	-100	1.359	0.129	1.948	0.089	2.708	3.688
46	-95	1.321	0.118	1.938	0.087	2.71	3.688
47	-90	1.308	0.109	1.94	0.086	2.711	3.688
48	-85	1.291	0.115	1.939	0.088	2.713	3.688
49	-80	1.288	0.109	1.945	0.084	2.716	3.688
50	-75	1.321	0.11	1.944	0.087	2.717	3.688
51	-70	1.262	0.104	1.94	0.088	2.719	3.688
52	-65	1.241	0.103	1.945	0.089	2.721	3.688
53	-60	1.271	0.101	1.945	0.088	2.721	3.688
54	-55	1.225	0.097	1.943	0.088	2.724	3.688
55	-50	1.207	0.096	1.946	0.088	2.726	3.688
56	-45	1.199	0.088	1.947	0.085	2.726	3.688
