,WindSpeed(m/s),Wind.dP (Pa),Air.Temp.(C),Baro.P(Pa),Fz(L),Fx(D),Fy(S),My(P),Mz(Y),Mx(R),Incidence,Yaw.Pos,Roll.Pos
1,0.1,0,14.6,101945,0,0,0,0,0,0,0,0,0
2,0.4,0.1,14.6,101946,0,8.4,0,0.3,0,0,2,0,0
3,0.1,0,14.6,101945,1,16.7,0,0.8,0,0,4,0,0
4,0.1,0.1,14.6,101947,1,25.1,0,1.3,0,0,6,0,0
5,0.3,0.1,14.6,101946,2,33.5,0,1.9,0,0,8,0,0
6,0,0,14.6,101945,4,41.7,0,2.7,-0.1,0,10,0,0
7,0,0,14.6,101945,5,50,0,3.5,-0.1,0,12,0,0
8,0.3,0.1,14.6,101946,7,58.2,0,4.5,-0.1,0,14,0,0
9,0.1,0,14.6,101946,9,66.3,0,5.5,-0.1,0,16,0,0
10,0.3,0.2,14.6,101946,12,74.3,0,6.7,-0.1,0,18,0,0
11,0.1,0,14.6,101943,15,82.3,0,7.9,-0.1,0,20,0,0
12,0.3,0.1,14.6,101945,18,90.1,0,9.2,-0.2,0,22,0,0
13,0.2,0.1,14.6,101945,21,97.8,0,10.7,-0.2,0,24,0,0
14,0.2,0,14.6,101947,24,105.4,0,12.2,-0.2,0,26,0,0
15,0.1,0,14.6,101944,24,105.4,0,12.2,-0.2,0,26,0,0
16,0.6,0.3,14.6,101944,26,109.2,0,13,-0.2,0,27,0,0
17,0,0,14.6,101944,28,112.9,0,13.8,-0.2,0,28,0,0
18,0,0,14.6,101943,30,116.6,0,14.6,-0.2,0,29,0,0
19,0.1,0,14.6,101943,32,120.2,0,15.5,-0.2,0,30,0,0
20,0,0,14.6,101945,34,123.9,-1,16.4,-0.2,0,31,0,0
21,0.2,0.1,14.6,101942,37,127.4,-1,17.3,-0.2,0,32,0,0
22,0.4,0.1,14.6,101941,39,131,-1,18.2,-0.3,0,33,0,0
23,0.1,0,14.6,101946,41,134.5,-1,19.2,-0.3,0,34,0,0
24,20,247.3,14.2,101940,-6,3.9,-1,0.1,0,-0.3,0,0,0
25,20,247.6,14.2,101942,4,12.5,-1,4.7,0,-0.2,2,0,0
26,20,248,14.2,101939,13,21.2,-1,9.4,0,-0.2,4,0,0
27,20,247.7,14.2,101939,22,29.8,-1,14.3,0,-0.2,6,0,0
28,20,247,14.2,101942,33,38.4,-1,19.7,0,-0.1,8,0,0
29,20,246.9,14.2,101941,43,46.9,-1,25,0,-0.1,10,0,0
30,20,247.2,14.2,101943,52,55.4,-1,30.1,0,-0.1,12,0,0
31,20,247.2,14.3,101940,62,63.7,-1,35.4,0,-0.1,14,0,0
32,20,246.5,14.3,101940,74,72,-1,41.2,0,-0.1,16,0,0
33,20,246.7,14.3,101940,85,80.1,-1,46.8,-0.1,0,18,0,0
34,20,246.8,14.3,101939,97,88.1,-1,52.3,-0.1,0.1,20,0,0
35,19.9,246,14.3,101938,108,96,-1,58,-0.1,0.2,22,0,0
36,19.9,245.8,14.3,101938,120,103.8,-1,63.4,-0.2,0.4,24,0,0
37,20,246.6,14.3,101942,130,111.5,-1,68.5,-0.3,0.6,26,0,0
38,20,247.1,14.4,101938,131,111.5,-1,68.6,-0.2,0.6,26,0,0
39,20,247.1,14.4,101940,136,115.2,-1,71,-0.3,0.6,27,0,0
40,20,246.7,14.4,101938,140,119,-1,72.8,-0.3,0.8,28,0,0
41,20,247,14.4,101939,142,122.9,-1,73.3,-0.4,1.1,29,0,0
42,20,247,14.4,101937,146,126.7,-1,74.9,-0.5,1.3,30,0,0
43,20,246.7,14.4,101941,148,130.6,-1,75,-0.5,1.2,31,0,0
44,20,246.6,14.4,101940,150,134.3,-1,75.4,-0.4,1,32,0,0
45,20,246.8,14.4,101941,153,137.9,-1,75.9,-0.4,0.6,33,0,0
46,20,247,14.4,101940,146,141.9,-1,70.8,-0.3,0.2,34,0,0
